timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-01,1196.13,1204.67,1190.57,1200.34,117762.0685,2023-01-01 23:59:59.999,141014996.65570800,233151,60055.50070000,71918680.42880500,0
2023-01-02,1200.33,1224.29,1193.0,1214.0,252794.14,2023-01-02 23:59:59.999,306657437.52747900,330000,123469.94340000,149737175.61059500,0
2023-01-03,1213.99,1219.89,1204.93,1214.55,205519.4944,2023-01-03 23:59:59.999,249325343.25224500,296709,97873.35150000,118760573.01080900,0
2023-01-04,1214.56,1272.6,1212.71,1256.9,457799.6648,2023-01-04 23:59:59.999,571805761.15805500,526420,236858.34270000,295758154.62116400,0
2023-01-05,1256.91,1259.95,1242.81,1251.24,272805.33,2023-01-05 23:59:59.999,341379819.27811000,339445,137396.56290000,171968288.82744000,0
2023-01-06,1251.25,1276.7,1236.0,1269.14,342344.2023,2023-01-06 23:59:59.999,429648347.11260300,444840,172277.49220000,216252876.92283600,0
2023-01-07,1269.13,1271.09,1261.3,1264.07,129474.2884,2023-01-07 23:59:59.999,163760550.01165600,242794,64457.87490000,81530432.00582300,0
2023-01-08,1264.06,1296.0,1257.77,1290.16,213636.7848,2023-01-08 23:59:59.999,271373377.53005800,341498,113501.53300000,144256844.74656900,0
2023-01-09,1290.15,1344.91,1285.44,1320.39,581727.6968,2023-01-09 23:59:59.999,766640085.93039700,667559,290264.29760000,382393990.07095700,0
2023-01-10,1320.4,1347.69,1316.8,1335.62,459660.2307,2023-01-10 23:59:59.999,611680590.74133200,467419,223763.89260000,297762851.61172400,0
2023-01-11,1335.63,1398.0,1321.04,1389.39,472465.9556,2023-01-11 23:59:59.999,635118946.42952100,534745,235594.22370000,316751892.10134100,0
2023-01-12,1389.4,1438.0,1361.92,1415.92,877712.4492,2023-01-12 23:59:59.999,1231660847.86824900,873540,438919.38830000,616089439.70055400,0
2023-01-13,1415.91,1464.0,1401.03,1451.2,499377.8649,2023-01-13 23:59:59.999,709963291.54162900,670535,259443.25480000,368821974.14258700,0
2023-01-14,1451.21,1599.98,1449.14,1549.9,940691.7774,2023-01-14 23:59:59.999,1444283818.18917100,1187799,482842.22190000,741178178.57722300,0
2023-01-15,1549.91,1566.66,1516.03,1552.52,387832.7138,2023-01-15 23:59:59.999,596626752.29784300,590180,192499.68890000,296178077.15000100,0
2023-01-16,1552.52,1604.5,1521.31,1576.94,574622.8953,2023-01-16 23:59:59.999,897953752.92998400,802443,283353.43660000,442958606.02847900,0
2023-01-17,1576.94,1609.0,1541.15,1565.57,506771.7219,2023-01-17 23:59:59.999,797552620.18733700,703325,253800.46180000,399512238.70172100,0
2023-01-18,1565.56,1610.0,1501.39,1511.43,752534.8857,2023-01-18 23:59:59.999,1172243167.72986300,913587,379449.34650000,591240910.36448200,0
2023-01-19,1511.44,1564.43,1509.15,1551.09,308679.4645,2023-01-19 23:59:59.999,473220810.93493000,477203,157860.33640000,242038742.95130500,0
